station,img,caption,
angle,AngleLakeStation01.JPG,The Angle Lake Station offers riders incredible views of Mount Rainier and the Olympic Mountains. (Ellen M. Banner / The Seattle Times),
angle,AngleLakeStation02.JPG,"Angle Lake Park, only a half-mile from the Angle Lake Station, offers fishing and boating access, as well as picnic and barbecue areas, a playground, and a spray park in the summer. (Lindsey Wasson / The Seattle Times)",
angle,AngleLakeStation03.JPG,The Silver Dollar Casino near the Angle Lake Station has everything from Spanish 21 and Ultimate Texas Hold &rsquo;Em to Four Card Progressives, as well as full restaurant service. (Lindsey Wasson / The Seattle Times)
beacon,BeaconHill_01.JPG,Beacon Hill&rsquo;s Jefferson Park is popular with locals for its large open spaces and spectacular views that include downtown Seattle and the Olympic Mountains. (Lindsey Wasson / The Seattle Times),
beacon,BeaconHill_02.JPG,"Beacon Hill&rsquo;s food and beverage scene is almost exclusively independent and family owned, including Perihelion Brewery, which boasts a large selection of beer and cider on tap. (Greg Gilbert / The Seattle Times)",
beacon,BeaconHill_03.JPG,"Beacon Hill is one of Seattle&rsquo;s most diverse neighborhoods, and includes the 1904-built El Centro de la Raza, across the street from the Beacon Hill Station. It&rsquo;s an important meeting and gathering space for the city&rsquo;s Latino community, hosting several cultural and social events throughout the year. Here, Dia De Los Muertos, or Day of the Dead, is celebrated. (Logan Riely / The Seattle Times)",
beacon,BeaconHill_04.JPG,"The Art Deco-styled Pacific Tower is on the National Registry of Historic Places. The building has been home to a number of medical organizations since its opening in 1933. However, its most famous tenant was probably Amazon, which made the building its headquarters for about a decade. (Ellen M. Banner / The Seattle Times)",
capitol,CapitolHill_01.JPG,"Capitol Hill, Seattle&rsquo;s densest neighborhood, is also one of its most dynamic. (Photo courtesy of Tyler Sipe)",
capitol,CapitolHill_02.JPG,"Capitol Hill is known for its individualism, which is partly expressed through the fashion of residents and visitors. Here, Block Party attendees share their fashion before attending the music event. (Genevieve Alvarez / The Seattle Times)",
capitol,CapitolHill_03.JPG,"Capitol Hill has been the heart of Seattle&rsquo;s LGBTQ community since the 1960s. Here, Aleksa Manila leads Drag Queen Story Time for children at Cal Anderson Park during the 2016 Capitol Hill Pride Festival. (Sophia Nahli Allison / The Seattle Times)",
capitol,CapitolHill_04.JPG,"An espresso aficionado? No problem. Capitol Hill played an important part in Seattle&rsquo;s early coffee history. Espresso houses like Vivace are some of the city&rsquo;s oldest coffee joints, and they&rsquo;ve been joined by dozens of other coffee shops. (Benjamin Benschneider / The Seattle Times)",
capitol,CapitolHill_05.JPG,"Cal Anderson Park, located in the heart of Capitol Hill, is a favorite place among locals to watch and be watched. Here, enthusiasts play a pickup game of bike polo. (Marcus Yam / The Seattle Times)",
capitol,CapitolHill_06.JPG,"Many of Seattle&rsquo;s most famous bands â€“ Nirvana, Pearl Jam, Soundgarden and more â€“ performed on Capitol Hill during the city&rsquo;s grunge and alternative music scene. Today, Capitol Hill remains a center of the city&rsquo;s music, including the annual Capitol Hill Block Party. (Sophia Nahli Allison / The Seattle Times)",
capitol,CapitolHill_07.JPG,"Capitol Hill has a high density of food and drink options, from cheap eats to James Beard Award-winning restaurants. Here, pedestrians walk past Dino&rsquo;s Tomato Pie restaurant. (Johnny Andrews / The Seattle Times)",
capitol,CapitolHill_08.JPG,"The SIFF Cinema Egyptian Theatre â€“ known for showing independent, classic and documentary films â€“ is operated by the Seattle International Film Festival. (Erika Schultz / The Seattle Times)",
columbia,ColumbiaCity_01.JPG,"Just a short 5-minute walk from the Columbia City Station, the neighborhood&rsquo;s quaint and historic business district is located along Rainier Avenue South. (Bettina Hansen / The Seattle Times)",
columbia,ColumbiaCity_02.JPG,"Columbia City has become one of Seattle&rsquo;s more popular food destinations in recent years, with a variety of cuisine that includes African, Caribbean, Mexican and Thai. The Columbia City Bakery is a popular spot for the morning crowd, offering up renowned baked goods. (Mike Siegel / The Seattle Times)",
columbia,ColumbiaCity_03.JPG,The more than 100-year-old Columbia Branch library is a popular destinations for locals looking to borrow a book or attend one of the regular arts and culture events at the site. (Bettina Hansen / The Seattle Times),
columbia,ColumbiaCity_04.JPG,The Columbia City Farmer&rsquo;s Market draws crowds every Wednesday to 37th Avenue South and South Edmunds Street from late spring to fall. (Bettina Hansen / The Seattle Times),
